year,mean_cell_exceedance_class,dominant_gridcell_decision,Province,District,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,No,No,Maputo Cidade,KaMavota,8.345937678212625e-4,0,0,1,56.8188150546852,area_weighted_exact,NA,NA,NA,0.08345937678212625,0,0,100
2007,No,No,Maputo Cidade,KaMaxaqueni,7.32997140350524e-8,0,0,1,11.850935582738565,area_weighted_exact,NA,NA,NA,7.329971403505241e-6,0,0,100
2007,No,No,Maputo Cidade,KaMphumo,6.70854800433184e-8,0,0,1,3.0141047119047504,area_weighted_exact,NA,NA,NA,6.708548004331841e-6,0,0,100
2007,No,No,Maputo Cidade,KaMubukwana,5.394256388759475e-5,0,0,1,48.05237792833961,area_weighted_exact,NA,NA,NA,0.005394256388759475,0,0,100
2007,Uncertain,Uncertain,Maputo Cidade,KaNyaka,0.43129196763038635,0,1,0,0,nearest_valid_cell_fallback,28.470747390997637,32.923470047686784,-26.28056200093588,43.129196763038635,0,100,0
2007,Uncertain,No,Maputo Cidade,KaTembe,0.2387723087915709,0,0.30795319275120836,0.6920468072487918,71.42290216522747,area_weighted_exact,NA,NA,NA,23.87723087915709,0,30.795319275120836,69.20468072487918
2007,No,No,Maputo Cidade,Nlhamankulu,5.312417172831374e-14,0,0,1,6.48370956466289,area_weighted_exact,NA,NA,NA,5.312417172831374e-12,0,0,100
2007,Yes,Yes,Cabo Delgado,Ancuabe,0.9319366843497595,0.9817336253858303,0.01826637461416965,0,4921.311869800044,area_weighted_exact,NA,NA,NA,93.19366843497595,98.17336253858304,1.8266374614169651,0
2007,Yes,Yes,Cabo Delgado,Balama,0.9665828084749971,1,0,0,5497.671198481446,area_weighted_exact,NA,NA,NA,96.65828084749971,100,0,0
2007,Yes,Yes,Cabo Delgado,Chiúre,0.9806927889272877,1,0,0,5348.273379890684,area_weighted_exact,NA,NA,NA,98.06927889272878,100,0,0
2007,Yes,Yes,Cabo Delgado,Ibo,0.9601149559020996,1,0,0,0,nearest_valid_cell_fallback,9.013244003859649,40.50972644396059,-12.325885022391939,96.01149559020996,100,0,0
