section,year,metric,value,source_file
Observed data,NA,clusters,2066,observed_data_summary.csv
Observed data,NA,examined,20720,observed_data_summary.csv
Observed data,NA,positive,6995,observed_data_summary.csv
Observed data,NA,aggregated_observed_pfpr,0.3375965250965251,observed_data_summary.csv
Validation: Internal fitted values,NA,r,0.898225828330475,Table_2_validation_comparison.csv
Validation: Internal fitted values,NA,RMSE,0.14185208611932362,Table_2_validation_comparison.csv
Validation: Internal fitted values,NA,MAE,0.09640161676512524,Table_2_validation_comparison.csv
Validation: Internal fitted values,NA,Bias,0.00587866262922938,Table_2_validation_comparison.csv
Validation: Random 5-fold cross-validation,NA,r,0.6795165493271229,Table_2_validation_comparison.csv
Validation: Random 5-fold cross-validation,NA,RMSE,0.23298908102421556,Table_2_validation_comparison.csv
Validation: Random 5-fold cross-validation,NA,MAE,0.1702867743017488,Table_2_validation_comparison.csv
Validation: Random 5-fold cross-validation,NA,Bias,2.6147683077533293e-4,Table_2_validation_comparison.csv
Validation: Spatial block 5-fold cross-validation,NA,r,0.5850439138731361,Table_2_validation_comparison.csv
Validation: Spatial block 5-fold cross-validation,NA,RMSE,0.2582903470587568,Table_2_validation_comparison.csv
Validation: Spatial block 5-fold cross-validation,NA,MAE,0.20490001177586048,Table_2_validation_comparison.csv
Validation: Spatial block 5-fold cross-validation,NA,Bias,0.02806792217708095,Table_2_validation_comparison.csv
Decision mapping,2007,Yes_pct,51.13978003577273,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2007,Uncertain_pct,45.04319366746584,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2007,No_pct,3.8170262967614264,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2007,mean_exceedance_probability,0.7510647437823212,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2011,Yes_pct,28.287095178292805,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2011,Uncertain_pct,60.33793812079004,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2011,No_pct,11.374966700917152,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2011,mean_exceedance_probability,0.5914889251331107,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2015,Yes_pct,23.38166457358146,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2015,Uncertain_pct,63.16931156524718,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2015,No_pct,13.449023861171366,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2015,mean_exceedance_probability,0.5574949092906594,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2018,Yes_pct,24.378734254290823,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2018,Uncertain_pct,63.264451801956085,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2018,No_pct,12.356813943753092,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2018,mean_exceedance_probability,0.5703250313547429,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2022,Yes_pct,6.724511930585683,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2022,Uncertain_pct,53.084446474102826,Table_3_decision_summary_pfpr20_p80.csv
Decision mapping,2022,No_pct,40.19104159531149,Table_3_decision_summary_pfpr20_p80.csv
