year,decile,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
2007,1,34,202,3,0.038645828115024074,0.01485148514851485,0.008510598673953582,0,0.03153225854946387
2007,2,34,260,23,0.09943483194350888,0.08846153846153847,0.017610758804531113,0.05394445120465749,0.12297862571841944
2007,3,34,295,38,0.16783587333017125,0.1288135593220339,0.019504073999180294,0.09058557428364052,0.16704154436042729
2007,4,34,291,71,0.24096241186279418,0.24398625429553264,0.02517682906334939,0.19463966933136784,0.29333283925969744
2007,5,34,338,100,0.34035681427930015,0.2958579881656805,0.024826381690113142,0.24719828005305872,0.34451769627830225
2007,6,34,338,149,0.426188907694884,0.4408284023668639,0.02700529873677666,0.38789801684278163,0.4937587878909461
2007,7,34,311,189,0.5402770527125801,0.6077170418006431,0.027686638732917167,0.5534512298841254,0.6619828537171608
2007,8,34,347,221,0.6497189849454623,0.6368876080691642,0.025815895666055095,0.5862884525636962,0.6874867635746322
2007,9,34,321,248,0.7582093262134832,0.7725856697819314,0.023395359434782492,0.7267307652897578,0.8184405742741051
2007,10,33,343,303,0.8710576962220257,0.8833819241982507,0.01733046157886683,0.8494142195036717,0.9173496288928297
2011,1,61,352,3,0.01373860009114477,0.008522727272727272,0.004899585555455982,0,0.018125914961421
2011,2,61,355,9,0.027027655935390305,0.02535211267605634,0.0083428949376467,0.009000038598268808,0.041704186753843867
2011,3,61,421,18,0.07964406119446561,0.04275534441805225,0.009859743838214871,0.023430246495151106,0.062080442340953404
2011,4,60,475,55,0.133713899110292,0.11578947368421053,0.014681335911403333,0.08701405529786,0.14456489207056106
2011,5,60,578,77,0.2021302201292413,0.13321799307958476,0.014134240211833111,0.10551488226439186,0.16092110389477765
2011,6,60,549,159,0.2950017374705386,0.2896174863387978,0.019358528803183072,0.251674769884559,0.3275602027930366
2011,7,60,524,236,0.41179150419978267,0.45038167938931295,0.02173478331705346,0.40778150408788816,0.49298185469073774
2011,8,60,521,283,0.5196125534618359,0.5431861804222649,0.021823535597824465,0.5004120506505289,0.5859603101940009
2011,9,60,554,351,0.633211157371065,0.6335740072202166,0.020470899685315097,0.593451043836999,0.6736969706034343
2011,10,60,584,477,0.7719713513850555,0.8167808219178082,0.016007805826274528,0.7854055224983101,0.8481561213373063
2015,1,31,286,6,0.012313102624959346,0.02097902097902098,0.008474334278324107,0.00436932579350573,0.037588716164536226
2015,2,31,403,9,0.0321559526061134,0.022332506203473945,0.0073605759177901775,0.007905777404605198,0.03675923500234269
2015,3,31,411,15,0.07384928676533742,0.0364963503649635,0.00924976053809874,0.01836681971028997,0.05462588101963703
2015,4,31,447,38,0.11393087268613894,0.08501118568232663,0.013191438820154808,0.05915596559482321,0.11086640576983005
2015,5,30,465,73,0.1759999771526222,0.15698924731182795,0.01687038657225749,0.12392328963020327,0.19005520499345263
2015,6,30,475,101,0.24381254947972172,0.21263157894736842,0.01877396801182102,0.17583460164419923,0.24942855625053761
2015,7,30,502,158,0.34313371541408066,0.3147410358565737,0.020727751294198626,0.2741146433199444,0.355367428393203
2015,8,30,448,222,0.4929085337445979,0.4955357142857143,0.023621837947548154,0.44923691190851994,0.5418345166629087
2015,9,30,494,331,0.623893735400872,0.6700404858299596,0.021155211701685717,0.6285762708946555,0.7115047007652636
2015,10,30,545,461,0.7841441628823353,0.8458715596330275,0.015466617750984773,0.8155569888410974,0.8761861304249576
2018,1,23,279,4,0.011705279453816353,0.014336917562724014,0.007116886465726052,3.878200899009535e-4,0.028286015035547077
2018,2,22,401,3,0.02599790836753124,0.007481296758104738,0.004303141274723525,0,0.015915453656562845
2018,3,22,383,13,0.0699301181659929,0.033942558746736295,0.009252825614924912,0.015807020541483467,0.052078096951989124
2018,4,22,411,38,0.13038193322125052,0.09245742092457421,0.014288396108696148,0.06445216455152976,0.12046267729761866
2018,5,22,474,90,0.20952256617545906,0.189873417721519,0.018014381442147342,0.15456523009491022,0.22518160534812778
2018,6,22,444,132,0.31234573258740644,0.2972972972972973,0.0216915111015153,0.25478193553832734,0.3398126590562673
2018,7,22,411,183,0.44032983676797166,0.44525547445255476,0.024514906182071732,0.3972062583356942,0.49330469056941534
2018,8,22,482,266,0.5314558947068163,0.5518672199170125,0.022651508862114617,0.5074702625472678,0.5962641772867572
2018,9,22,528,351,0.6320954998190698,0.6647727272727273,0.02054420346744906,0.6245060884765271,0.7050393660689275
2018,10,22,534,420,0.7595470554540072,0.7865168539325843,0.017732304700351108,0.7517615367198961,0.8212721711452725
2022,1,51,179,1,0.0069474862658191455,0.00558659217877095,0.005570965316891305,0,0.016505684199877906
2022,2,51,229,0,0.01862512200543286,0,0,0,0
2022,3,51,317,6,0.04586512233460282,0.01892744479495268,0.0076536205383716215,0.0039263485397443045,0.03392854105016106
2022,4,51,342,8,0.07499775787614542,0.023391812865497075,0.008172954249165663,0.007372822537132374,0.039410803193861775
2022,5,51,332,9,0.1088027868726478,0.02710843373493976,0.008912825224363744,0.009639296295186821,0.0445775711746927
2022,6,50,366,51,0.1803244727903221,0.13934426229508196,0.018101673899934407,0.10386498145121051,0.1748235431389534
2022,7,50,339,77,0.27595150773721083,0.22713864306784662,0.022756028077063065,0.18253682803680302,0.27174045809889025
2022,8,50,349,130,0.36984927613385943,0.37249283667621774,0.025879482823953564,0.32176905034126874,0.42321662301116675
2022,9,50,409,250,0.5355750969118903,0.6112469437652812,0.0241036939566167,0.5640037036103125,0.6584901839202499
2022,10,50,424,369,0.7570954860021681,0.8702830188679245,0.01631720399089015,0.8383012990457798,0.9022647386900692
2023,1,10,68,4,0.03576496970028458,0.058823529411764705,0.028533602945450938,0.0028976676386808647,0.11474939118484855
2023,2,10,70,2,0.06671167345691222,0.02857142857142857,0.019912344355347705,0,0.06759962350791007
2023,3,10,58,3,0.1100982272614499,0.05172413793103448,0.029080373606172646,0,0.10872167019913287
2023,4,10,76,8,0.1444109308709951,0.10526315789473684,0.03520295021368098,0.036265375475922124,0.17426094031355155
2023,5,9,64,5,0.18907107065965698,0.078125,0.03354602351038607,0.012374793919643315,0.1438752060803567
2023,6,9,54,11,0.271977935812671,0.2037037037037037,0.05480749218875392,0.09628101901374601,0.31112638839366136
2023,7,9,71,24,0.3196298564277423,0.3380281690140845,0.05613930434636632,0.22799513249520653,0.44806120553296247
2023,8,9,75,30,0.3829569418171218,0.4,0.0565685424949238,0.2891256567099494,0.5108743432900507
2023,9,9,63,39,0.5286710336587579,0.6190476190476191,0.06118248327996391,0.4991299518188898,0.7389652862763483
2023,10,9,53,41,0.6673782479291698,0.7735849056603774,0.05748688109486493,0.6609106187144421,0.8862591926063127
