validation,year,decile,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
Random 5-fold cross-validation,2007,1,34,203,11,0.03762717686268859,0.054187192118226604,0.01588923177336244,0.023044297842436223,0.08533008639401699
Random 5-fold cross-validation,2007,2,34,256,40,0.10405583820716029,0.15625,0.022693261794184082,0.1117712068833992,0.2007287931166008
Random 5-fold cross-validation,2007,3,34,272,62,0.185199721210065,0.22794117647058823,0.02543619443388984,0.17808623538016416,0.2777961175610123
Random 5-fold cross-validation,2007,4,34,295,88,0.261326534318898,0.2983050847457627,0.026637501356367138,0.24609558208728313,0.3505145874042423
Random 5-fold cross-validation,2007,5,34,358,115,0.34450824755317627,0.32122905027932963,0.024678997671666637,0.27285821484286304,0.3695998857157962
Random 5-fold cross-validation,2007,6,34,281,134,0.4476572656627459,0.47686832740213525,0.029795562360528806,0.4184690251754988,0.5352676296287717
Random 5-fold cross-validation,2007,7,34,349,173,0.5360541758034549,0.49570200573065903,0.026763397536451846,0.4432457465592134,0.5481582649021046
Random 5-fold cross-validation,2007,8,34,397,252,0.6318554147461236,0.6347607052896725,0.024165651681331727,0.5873960279942624,0.6821253825850827
Random 5-fold cross-validation,2007,9,34,297,214,0.7406581810177648,0.7205387205387206,0.026038218009590504,0.6695038132399233,0.7715736278375179
Random 5-fold cross-validation,2007,10,33,338,256,0.8494490767915273,0.757396449704142,0.023315882521375873,0.7116973199622453,0.8030955794460387
Random 5-fold cross-validation,2011,1,61,348,4,0.013474815084355498,0.011494252873563218,0.005714001512830205,2.9480990841601606e-4,0.02269369583871042
Random 5-fold cross-validation,2011,2,61,355,12,0.026975646464459456,0.03380281690140845,0.00959169042819089,0.0150031036621543,0.052602530140662594
Random 5-fold cross-validation,2011,3,61,404,72,0.08299091221132143,0.1782178217821782,0.01903983771598317,0.1408997398588512,0.2155359037055052
Random 5-fold cross-validation,2011,4,60,487,58,0.1556729724214058,0.11909650924024641,0.014677402396993609,0.09032880054213893,0.1478642179383539
Random 5-fold cross-validation,2011,5,60,538,143,0.22212749803880175,0.26579925650557623,0.0190455339605214,0.2284700099429543,0.30312850306819816
Random 5-fold cross-validation,2011,6,60,543,174,0.2978926399194421,0.32044198895027626,0.02002571646234727,0.2811915846840756,0.3596923932164769
Random 5-fold cross-validation,2011,7,60,585,253,0.39609745034262395,0.4324786324786325,0.020483091418656344,0.39233177329806607,0.4726254916591989
Random 5-fold cross-validation,2011,8,60,570,299,0.49493963240498795,0.5245614035087719,0.020917412265638057,0.4835632754681213,0.5655595315494225
Random 5-fold cross-validation,2011,9,60,546,304,0.6001383847822456,0.5567765567765568,0.02125962064488607,0.5151077003125801,0.5984454132405335
Random 5-fold cross-validation,2011,10,60,537,349,0.7378738564812275,0.6499068901303539,0.020584020681899354,0.6095622095938311,0.6902515706668766
Random 5-fold cross-validation,2015,1,31,304,7,0.012555523538227038,0.023026315789473683,0.00860234526058789,0.006165719078721418,0.03988691250022595
Random 5-fold cross-validation,2015,2,31,362,29,0.03622500373169687,0.08011049723756906,0.01426784096591016,0.05214552894438515,0.10807546553075298
Random 5-fold cross-validation,2015,3,31,378,44,0.08230191472427757,0.1164021164021164,0.01649536280029307,0.08407120531354198,0.1487330274906908
Random 5-fold cross-validation,2015,4,31,455,54,0.14228294439024403,0.11868131868131868,0.015161842162233711,0.0889641080433406,0.14839852931929676
Random 5-fold cross-validation,2015,5,30,448,88,0.21391763015683202,0.19642857142857142,0.018770488077501833,0.15963841479666785,0.233218728060475
Random 5-fold cross-validation,2015,6,30,498,119,0.3023329919434938,0.2389558232931727,0.019109488896315963,0.2015012250563934,0.276410421529952
Random 5-fold cross-validation,2015,7,30,505,199,0.3895542558535451,0.3940594059405941,0.021744537974931723,0.35144011150972787,0.4366787003714603
Random 5-fold cross-validation,2015,8,30,502,258,0.45810846275506106,0.5139442231075697,0.022307412103264538,0.4702216953851712,0.5576667508299682
Random 5-fold cross-validation,2015,9,30,487,292,0.5695660298203605,0.5995893223819302,0.022203185615431907,0.5560710785756836,0.6431075661881768
Random 5-fold cross-validation,2015,10,30,537,324,0.688672000865135,0.6033519553072626,0.021110614650019358,0.5619751505932247,0.6447287600213005
Random 5-fold cross-validation,2018,1,23,286,4,0.01230619119752272,0.013986013986013986,0.006943932653410057,3.75905985330275e-4,0.027596121986697697
Random 5-fold cross-validation,2018,2,22,360,4,0.028154046375145934,0.011111111111111112,0.00552460514450974,2.8288502787202074e-4,0.021939337194350202
Random 5-fold cross-validation,2018,3,22,396,41,0.09352230824246359,0.10353535353535354,0.015309581744484985,0.07352857331616297,0.1335421337545441
Random 5-fold cross-validation,2018,4,22,447,92,0.1510927962522714,0.2058165548098434,0.019122594046792184,0.1683362704781307,0.2432968391415561
Random 5-fold cross-validation,2018,5,22,431,152,0.23188321645114035,0.35266821345707655,0.023014841608809428,0.30755912390381007,0.39777730301034303
Random 5-fold cross-validation,2018,6,22,484,168,0.30891756497299694,0.34710743801652894,0.021638648871396948,0.3046956862285909,0.389519189804467
Random 5-fold cross-validation,2018,7,22,458,192,0.3954930921195935,0.4192139737991266,0.023056491189297767,0.37402325106810297,0.46440469653015026
Random 5-fold cross-validation,2018,8,22,489,222,0.48839166005723744,0.4539877300613497,0.022514838143681635,0.40985864729973365,0.4981168128229657
Random 5-fold cross-validation,2018,9,22,527,312,0.5800450117005332,0.5920303605313093,0.021408222220321838,0.5500702449794785,0.6339904760831401
Random 5-fold cross-validation,2018,10,22,469,313,0.7199592765177927,0.6673773987206824,0.021755807322034054,0.6247360163694956,0.7100187810718691
Random 5-fold cross-validation,2022,1,51,180,1,0.006777216644697372,0.005555555555555556,0.005540101963574663,0,0.016414155404161895
Random 5-fold cross-validation,2022,2,51,215,2,0.01818560420979629,0.009302325581395349,0.006547071889508038,0,0.022134586484831104
Random 5-fold cross-validation,2022,3,51,310,22,0.04812711259140618,0.07096774193548387,0.014583610060177082,0.042383866217536786,0.09955161765343096
Random 5-fold cross-validation,2022,4,51,328,19,0.0970096553658592,0.057926829268292686,0.012898680179129166,0.032645416117199524,0.08320824241938585
Random 5-fold cross-validation,2022,5,51,332,54,0.16250583334381027,0.16265060240963855,0.020254062804202194,0.12295263931340225,0.20234856550587485
Random 5-fold cross-validation,2022,6,50,403,63,0.22322143415325144,0.15632754342431762,0.018090566382449328,0.12087003331471693,0.1917850535339183
Random 5-fold cross-validation,2022,7,50,372,146,0.2956907682372647,0.3924731182795699,0.02531723294832779,0.3428513417008474,0.44209489485829234
Random 5-fold cross-validation,2022,8,50,379,164,0.3718724837139984,0.43271767810026385,0.02544968076580165,0.3828363037992926,0.4825990524012351
Random 5-fold cross-validation,2022,9,50,384,208,0.4404742855745403,0.5416666666666666,0.025426768256730573,0.49183020088347473,0.5915031324498585
Random 5-fold cross-validation,2022,10,50,383,222,0.5969183149474249,0.5796344647519582,0.025222681989548065,0.530198008052444,0.6290709214514725
Random 5-fold cross-validation,2023,1,10,69,6,0.02863441092892086,0.08695652173913043,0.033921282504586696,0.020470808030140508,0.15344223544812036
Random 5-fold cross-validation,2023,2,10,79,10,0.07135688775161701,0.12658227848101267,0.03740967269076241,0.053259320007118346,0.19990523695490697
Random 5-fold cross-validation,2023,3,10,65,8,0.11872260585623445,0.12307692307692308,0.04074857129781272,0.043209723333210145,0.202944122820636
Random 5-fold cross-validation,2023,4,10,67,12,0.1533240623368146,0.1791044776119403,0.04684462467949339,0.08728901324013325,0.27091994198374736
Random 5-fold cross-validation,2023,5,9,74,17,0.2128480447031634,0.22972972972972974,0.0489006136323676,0.13388452701028924,0.32557493244917024
Random 5-fold cross-validation,2023,6,9,60,20,0.29345612083869804,0.3333333333333333,0.06085806194501846,0.21405153192109716,0.45261513474556947
Random 5-fold cross-validation,2023,7,9,60,25,0.3479566177549751,0.4166666666666667,0.06364688465216445,0.29191877274842437,0.541414560584909
Random 5-fold cross-validation,2023,8,9,77,20,0.40546590928509635,0.2597402597402597,0.04997080410071181,0.16179748370286456,0.35768303577765487
Random 5-fold cross-validation,2023,9,9,49,19,0.4346509847834684,0.3877551020408163,0.06960545997850333,0.2513284004829498,0.5241818035986828
Random 5-fold cross-validation,2023,10,9,52,30,0.5348846977993879,0.5769230769230769,0.06851204838407936,0.4426394620902813,0.7112066917558724
