validation,decile,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
Random 5-fold cross-validation,1,207,1356,19,0.012447994118493604,0.014011799410029498,0.0031919271427236855,0.007755622210291075,0.020267976609767924
Random 5-fold cross-validation,2,207,1556,95,0.033359888649088495,0.061053984575835475,0.006069774008873612,0.049157227518443196,0.07295074163322776
Random 5-fold cross-validation,3,207,1857,189,0.08719187568850627,0.10177705977382875,0.00701634716638948,0.08802501932770537,0.11552910021995214
Random 5-fold cross-validation,4,207,1981,311,0.14989113285035432,0.15699141847551742,0.008173568690547762,0.1409712238420438,0.17301161310899105
Random 5-fold cross-validation,5,207,2142,507,0.21951328367430276,0.23669467787114845,0.009184037712838572,0.21869396395398485,0.2546953917883121
Random 5-fold cross-validation,6,207,2305,748,0.2983613080859322,0.3245119305856833,0.009751888131171263,0.3053982298485876,0.34362563132277896
Random 5-fold cross-validation,7,206,2233,877,0.38185803537049323,0.3927451858486341,0.010334668649961805,0.37248923529470895,0.41300113640255925
Random 5-fold cross-validation,8,206,2369,1225,0.46613962459056885,0.5170958210215281,0.010266761314392343,0.49697296884531905,0.5372186731977371
Random 5-fold cross-validation,9,206,2512,1422,0.5785009576619213,0.5660828025477707,0.009888572330817642,0.5467012007793681,0.5854644043161732
Random 5-fold cross-validation,10,206,2409,1602,0.7353588860287064,0.6650062266500623,0.009616406719399147,0.64615806948004,0.6838543838200846
