validation,year,decile,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
Spatial block 5-fold cross-validation,2007,1,34,209,17,0.11844231927624796,0.08133971291866028,0.018908437652392196,0.04427917511997158,0.11840025071734898
Spatial block 5-fold cross-validation,2007,2,34,247,35,0.22063949301824642,0.1417004048582996,0.02218996017289965,0.09820808291941628,0.1851927267971829
Spatial block 5-fold cross-validation,2007,3,34,300,44,0.3010285553032658,0.14666666666666667,0.02042511163213521,0.10663344786768165,0.1866998854656517
Spatial block 5-fold cross-validation,2007,4,34,240,72,0.3971057088820664,0.3,0.02958039891549808,0.24202241812562375,0.3579775818743762
Spatial block 5-fold cross-validation,2007,5,34,269,132,0.44829042998852425,0.49070631970260226,0.03048027136367812,0.43096498782979314,0.5504476515754113
Spatial block 5-fold cross-validation,2007,6,34,334,168,0.5163044061582104,0.5029940119760479,0.02735829225968115,0.44937175914707284,0.5566162648050229
Spatial block 5-fold cross-validation,2007,7,34,337,188,0.5673054033020691,0.5578635014836796,0.027053733497074055,0.5048381838294145,0.6108888191379447
Spatial block 5-fold cross-validation,2007,8,34,382,201,0.620699753553679,0.5261780104712042,0.025547139047811057,0.4761056179374945,0.5762504030049138
Spatial block 5-fold cross-validation,2007,9,34,393,236,0.6709587532947079,0.6005089058524173,0.024706828585207043,0.5520835218254115,0.6489342898794231
Spatial block 5-fold cross-validation,2007,10,33,335,252,0.7620672959965673,0.7522388059701492,0.023586967357898038,0.7060083499486691,0.7984692619916294
Spatial block 5-fold cross-validation,2011,1,61,342,7,0.06617106910813217,0.02046783625730994,0.007656534864375485,0.00546102792313399,0.03547464459148589
Spatial block 5-fold cross-validation,2011,2,61,390,21,0.09960974691620571,0.05384615384615385,0.011429465469939481,0.03144440152507247,0.07624790616723523
Spatial block 5-fold cross-validation,2011,3,61,439,78,0.17313561567203534,0.1776765375854214,0.01824333033035137,0.14191961013793272,0.21343346503291008
Spatial block 5-fold cross-validation,2011,4,60,481,125,0.23994822207944558,0.2598752598752599,0.019996886929238785,0.22068136149395187,0.2990691582565679
Spatial block 5-fold cross-validation,2011,5,60,542,171,0.3020834913625187,0.3154981549815498,0.019961173991792286,0.27637425395763693,0.3546220560054627
Spatial block 5-fold cross-validation,2011,6,60,521,173,0.36120291956381234,0.33205374280230326,0.020632701188560833,0.29161364847272403,0.3724938371318825
Spatial block 5-fold cross-validation,2011,7,60,550,205,0.419835345179206,0.37272727272727274,0.020617805759830812,0.33231637343800435,0.4131381720165411
Spatial block 5-fold cross-validation,2011,8,60,578,285,0.4766647770825206,0.4930795847750865,0.02079526612408408,0.4523208631718817,0.5338383063782913
Spatial block 5-fold cross-validation,2011,9,60,559,294,0.5348061611932499,0.5259391771019678,0.02111926941003703,0.48454540905829524,0.5673329451456404
Spatial block 5-fold cross-validation,2011,10,60,511,309,0.6521370031830978,0.6046966731898239,0.021628359229059858,0.5623050891008665,0.6470882572787813
Spatial block 5-fold cross-validation,2015,1,31,291,9,0.053692843414544805,0.030927835051546393,0.010148604439223007,0.011036570350669298,0.05081909975242349
Spatial block 5-fold cross-validation,2015,2,31,422,41,0.09334005776659952,0.0971563981042654,0.014417359896262806,0.0688983727075903,0.1254144235009405
Spatial block 5-fold cross-validation,2015,3,31,420,33,0.16783635297889044,0.07857142857142857,0.013129207641531939,0.052838181594025965,0.10430467554883117
Spatial block 5-fold cross-validation,2015,4,31,429,89,0.22868345106516672,0.20745920745920746,0.019577107408856747,0.16908807693784822,0.2458303379805667
Spatial block 5-fold cross-validation,2015,5,30,469,133,0.286163425739954,0.2835820895522388,0.020813072407076947,0.24278846763436798,0.32437571147010963
Spatial block 5-fold cross-validation,2015,6,30,496,153,0.35442621770853827,0.3084677419354839,0.020738161902982864,0.26782094460563743,0.3491145392653303
Spatial block 5-fold cross-validation,2015,7,30,438,171,0.4159750032252803,0.3904109589041096,0.023310013235917255,0.34472333296171176,0.43609858484650743
Spatial block 5-fold cross-validation,2015,8,30,527,287,0.4684767507603821,0.5445920303605313,0.02169355096277305,0.5020726704734961,0.5871113902475664
Spatial block 5-fold cross-validation,2015,9,30,487,259,0.5338877607618211,0.5318275154004107,0.0226112131358133,0.4875095376542167,0.5761454931466048
Spatial block 5-fold cross-validation,2015,10,30,497,239,0.6303049091700426,0.48088531187122735,0.022411670065531415,0.43695843854278577,0.5248121851996689
Spatial block 5-fold cross-validation,2018,1,23,318,3,0.05519963443893848,0.009433962264150943,0.005420947786700271,0,0.02005901992608347
Spatial block 5-fold cross-validation,2018,2,22,358,9,0.09809305067745888,0.025139664804469275,0.008273884008527025,0.008922852147756306,0.04135647746118225
Spatial block 5-fold cross-validation,2018,3,22,400,62,0.16459777686962396,0.155,0.01809523417919757,0.11953334100877276,0.19046665899122722
Spatial block 5-fold cross-validation,2018,4,22,408,124,0.227749254347341,0.30392156862745096,0.022770877554115283,0.259290648621385,0.3485524886335169
Spatial block 5-fold cross-validation,2018,5,22,424,117,0.303929534429603,0.2759433962264151,0.021707676143488553,0.23339635098517755,0.3184904414676527
Spatial block 5-fold cross-validation,2018,6,22,508,191,0.3700233028596428,0.37598425196850394,0.021490709137042673,0.3338624620599003,0.4181060418771076
Spatial block 5-fold cross-validation,2018,7,22,452,204,0.4208393134725041,0.45132743362831856,0.023406327206132067,0.4054510323042997,0.49720383495233744
Spatial block 5-fold cross-validation,2018,8,22,439,155,0.47781807142424837,0.3530751708428246,0.022810155122517058,0.30836726680269116,0.397783074882958
