validation,decile,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
Spatial block 5-fold cross-validation,1,207,1390,45,0.053375909957223994,0.03237410071942446,0.004747283836974648,0.023069424398954153,0.04167877703989477
Spatial block 5-fold cross-validation,2,207,1647,122,0.09951784647797063,0.07407407407407407,0.006453189796164404,0.06142582207359184,0.08672232607455631
Spatial block 5-fold cross-validation,3,207,1917,280,0.16992672822358676,0.14606155451225875,0.00806622228776776,0.13025175882823392,0.16187135019628357
Spatial block 5-fold cross-validation,4,207,1863,405,0.22932370246765846,0.21739130434782608,0.00955623874486648,0.19866107640788777,0.2361215322877644
Spatial block 5-fold cross-validation,5,207,2068,591,0.2847588554928086,0.28578336557059963,0.009934778447048742,0.2663111998143841,0.30525553132681515
Spatial block 5-fold cross-validation,6,207,2054,645,0.33955632661069524,0.3140214216163583,0.010240819109727954,0.29394941616129155,0.3340934270714251
Spatial block 5-fold cross-validation,7,206,2339,901,0.40008205364873745,0.38520735356990166,0.010062282494428408,0.36548527988082197,0.40492942725898134
Spatial block 5-fold cross-validation,8,206,2360,1095,0.46393793240248105,0.4639830508474576,0.01026559952623041,0.443862475776046,0.48410362591886924
Spatial block 5-fold cross-validation,9,206,2647,1494,0.5385223570400306,0.5644125425009444,0.009637381264157719,0.5455232752231953,0.5833018097786935
Spatial block 5-fold cross-validation,10,206,2435,1417,0.6660596387781416,0.5819301848049281,0.009995634464308815,0.5623387412548828,0.6015216283549734
